id,category,subcategory,name,type,features,openness,nais,naisuse,priority,maturity,grade,score,verify,provider,provider_group,released,released_status,url,repo_url,canonical_id,note,status,superseded_by,last_verified
AG034,민간 AI 과학자 플랫폼·FutureHouse Agent군,생물학 자동화,Robin,상용·플랫폼,생물학 연구 자동화·실험 설계 지원 Agent,상용/연구 플랫폼,바이오·실험설계 Agent 참고,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,FutureHouse,FutureHouse,2025.05,,https://github.com/Future-House/robin,https://github.com/Future-House/robin,,,active,,2026-07-05
AG058,바이오·의생명 연구 Agent,바이오 분석 플랫폼,Biomni Lab,상용·플랫폼,Biomni를 연구자가 쉽게 쓰도록 만든 실험·분석 환경,플랫폼형,바이오 연구자용 UX 참고,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,Stanford (Zou Lab),Stanford-Zou-Lab,2025,,https://biomni.stanford.edu,,AG057,,active,,2026-07-05
AG091,코딩·연구자동화 Agent,범용 실행 Agent,ChatGPT Agent,상용 Agent·서비스,"웹, 코드, 파일, 도구를 사용해 연구·업무 작업 수행",상용 서비스,연구 자동화 UX 참고,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,OpenAI,OpenAI,2025.07,,https://openai.com,,,,active,,2026-07-05
AG092,코딩·연구자동화 Agent,코딩 Agent,Claude Code,상용 Agent·서비스,"터미널·프로젝트 기반 코드 수정, 분석, 테스트 지원",상용 서비스,내부망 코딩 Agent UX 참고,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,Anthropic,Anthropic,2025.02,,https://claude.com/product/claude-code,,,,active,,2026-07-05
AG093,코딩·연구자동화 Agent,IDE Agent,Cursor Agents,상용 Agent·서비스,IDE 내 코드 작성·수정·검색·자동화 지원,상용 서비스,연구자 개발환경 Agent 참고,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,Anysphere (Cursor),,2025,,https://cursor.com,,,,active,,2026-07-05
AG095,코딩·연구자동화 Agent,코딩 Agent,GitHub Copilot Coding Agent,상용 Agent·서비스,GitHub 이슈 기반 코드 수정·PR 생성 지원,상용 서비스,출연연 소스관리·코딩 Agent 참고,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,GitHub (Microsoft),,2025.05,,https://github.com/features/copilot,https://github.com/features/copilot,,,active,,2026-07-05
AG090,코딩·연구자동화 Agent,코딩 Agent,OpenAI Codex,상용 Agent·서비스,"코드 생성, 수정, 테스트, 프로젝트 이해를 지원하는 코딩 Agent",상용 서비스,보안형 코딩 Agent·연구코드 Agent 참고,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,OpenAI,OpenAI,2025.05,,https://openai.com/codex,,,,active,,2026-07-05
AG098,코딩·연구자동화 Agent,개발 Agent 플랫폼,OpenHands,상용 Agent·서비스,"코드 수정, 명령 실행, 브라우징, API 호출 등을 수행하는 오픈소스 개발 Agent 플랫폼",오픈소스+상용,자체 코딩 Agent 구축 백본 후보,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,All Hands AI,,2024.03,,https://github.com/All-Hands-AI/OpenHands,https://github.com/All-Hands-AI/OpenHands,,,active,,2026-07-05
AG094,코딩·연구자동화 Agent,IDE Agent,Windsurf,상용 Agent·서비스,Agentic IDE 기반 코드 작성·수정 지원,상용 서비스,연구용 코드 개발 Agent 참고,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,Windsurf (Codeium),,2024.11,,https://windsurf.com,,,,active,,2026-07-05
AG004,AI 과학자·자율 연구 Agent,연구 전주기 자동화,Agent Laboratory,오픈소스 Agent·프로젝트,"문헌조사, 실험, 분석, 논문작성 등 연구 프로세스를 Agent workflow로 자동화",오픈소스·논문/프로젝트형,NAIS 연구 자동화 PoC 구조 참고,PoC 후보/자체개발 참고,상,중,핵심(즉시),95,확인완료,AMD·Johns Hopkins,,2025.01,,https://github.com/SamuelSchmidgall/AgentLaboratory,https://github.com/SamuelSchmidgall/AgentLaboratory,,,active,,2026-07-05
AG015,AI 과학자·자율 연구 Agent,멀티 Agent 연구,Denario,오픈소스 Agent·프로젝트,"아이디어 생성, 문헌검토, 코드 실행, 플롯, 논문 작성·리뷰를 수행하는 모듈형 과학 연구 Agent",오픈소스,NAIS 자체 연구 Agent PoC 참고,PoC 후보/자체개발 참고,상,중,핵심(즉시),95,확인완료,AstroPilot-AI,,2025.10,,https://github.com/AstroPilot-AI/Denario,https://github.com/AstroPilot-AI/Denario,,,active,,2026-07-05
AG016,AI 과학자·자율 연구 Agent,자기진화형 연구,EvoScientist,오픈소스 Agent·프로젝트,"계획, 조사, 코딩, 디버깅, 평가 등을 자기진화형 멀티 Agent로 수행",오픈소스,Agent skills·MCP 기반 확장 구조 참고,PoC 후보/자체개발 참고,상,중,핵심(즉시),95,확인완료,Xiaoyi DeepResearch,,2026.03,,https://github.com/EvoScientist/EvoScientist,https://github.com/EvoScientist/EvoScientist,,,active,,2026-07-05
AG001,AI 과학자·자율 연구 Agent,연구 전주기 자동화,The AI Scientist,오픈소스 Agent·프로젝트,"아이디어 생성, 문헌검색, 실험계획, 코드 실행, 결과분석, 논문작성, 자동 리뷰까지 수행하는 자율 연구 Agent",오픈소스·논문 기반,NAIS의 “AI 과학자” 벤치마킹 핵심 사례,PoC 후보/자체개발 참고,상,중,핵심(즉시),95,확인완료,Sakana AI,Sakana-AI,2024.08,,https://github.com/SakanaAI/AI-Scientist,https://github.com/SakanaAI/AI-Scientist,,,active,,2026-07-05
AG002,AI 과학자·자율 연구 Agent,연구 전주기 자동화,The AI Scientist-v2,오픈소스 Agent·프로젝트,템플릿 의존성을 줄이고 연구 자동화 범위를 확장한 The AI Scientist 후속 버전,오픈소스·논문 기반,장기적으로 연구 자동화 Agent 구조 참고 가능,PoC 후보/자체개발 참고,상,중,핵심(즉시),95,확인완료,Sakana AI,Sakana-AI,2025.04,,https://github.com/SakanaAI/AI-Scientist-v2,https://github.com/SakanaAI/AI-Scientist-v2,,,active,,2026-07-05
AG100,Agent 프레임워크·오케스트레이션,다중 Agent,AutoGen,Agent 프레임워크,다중 Agent 애플리케이션 개발 프레임워크,오픈소스,NAIS Agent 오케스트레이션 참고,자체개발 기반 후보,상,중,핵심(즉시),95,확인완료,Microsoft,Microsoft,2023.09,,https://github.com/microsoft/autogen,https://github.com/microsoft/autogen,,,active,,2026-07-05
AG102,Agent 프레임워크·오케스트레이션,다중 Agent,CrewAI,Agent 프레임워크,역할 기반 Agent 팀 구성·워크플로우 실행 프레임워크,오픈소스/상용,출연연 업무별 Agent 팀 설계 참고,자체개발 기반 후보,상,중,핵심(즉시),95,확인완료,CrewAI Inc.,,2024,,https://github.com/crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,,,active,,2026-07-05
AG103,Agent 프레임워크·오케스트레이션,상태기반 Agent,LangGraph,Agent 프레임워크,상태기계·그래프 기반 Agent workflow 구성,오픈소스/상용,안정적 Agent workflow 구축 핵심 후보,자체개발 기반 후보,상,중,핵심(즉시),95,확인완료,LangChain,,2024.01,,https://github.com/langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,,,active,,2026-07-05
AG104,Agent 프레임워크·오케스트레이션,RAG·Agent,LlamaIndex Agents,Agent 프레임워크,문서·DB 기반 RAG와 Agent 도구 호출 구성,오픈소스/상용,내부문서·연구DB Agent 구축 참고,자체개발 기반 후보,상,중,핵심(즉시),95,확인완료,LlamaIndex,,2023,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,,,active,,2026-07-05
AG113,Agent 프레임워크·오케스트레이션,다중 Agent,Microsoft Agent Framework (MAF),Agent 프레임워크,AutoGen과 Semantic Kernel을 통합한 후속 다중 Agent 프레임워크(v1.0),오픈소스(MIT),AutoGen 후속·프로덕션 Agent 프레임워크 참고,자체개발 기반 후보,상,중,핵심(즉시),95,확인완료,Microsoft,Microsoft,2026.04,범위 시작: 2025.10,https://github.com/microsoft/agent-framework,https://github.com/microsoft/agent-framework,,,active,,2026-07-05
AG116,과학 Agent 스킬·로컬 실행 환경,로컬 과학자 앱,K-Dense BYOK,스킬 라이브러리·로컬 실행 환경,"로컬 데스크톱에서 과학 Agent 실행, 스킬·워크플로우·DB 포함",오픈소스·베타,온프레미스·BYOK형 Agent 참고,자체 스킬 라이브러리 참고,상,중,핵심(즉시),95,확인완료,K-Dense Inc.,K-Dense,2026,,https://github.com/K-Dense-AI/k-dense-byok,https://github.com/K-Dense-AI/k-dense-byok,,,active,,2026-07-05
AG117,과학 Agent 스킬·로컬 실행 환경,연구 방법론 스킬,K-Dense science-superpowers,스킬 라이브러리·로컬 실행 환경,"사전등록, 연구 질문 구조화, 재현성 등 컴퓨팅 과학 방법론 스킬",오픈소스,연구 엄밀성·재현성 스킬 참고,자체 스킬 라이브러리 참고,상,중,핵심(즉시),95,확인완료,K-Dense Inc.,K-Dense,2026,,https://github.com/K-Dense-AI/science-superpowers,https://github.com/K-Dense-AI/science-superpowers,,,active,,2026-07-05
AG115,과학 Agent 스킬·로컬 실행 환경,과학 스킬 라이브러리,Scientific Agent Skills,스킬 라이브러리·로컬 실행 환경,생명과학·화학·의학·신약개발 등 140개 이상 과학 스킬 제공,오픈소스,NAIS 과학 Agent 스킬 라이브러리 참고,자체 스킬 라이브러리 참고,상,중,핵심(즉시),95,확인완료,K-Dense Inc.,K-Dense,2026,,https://github.com/K-Dense-AI/scientific-agent-skills,https://github.com/K-Dense-AI/scientific-agent-skills,,,active,,2026-07-05
AG053,문헌조사·학술검색 Agent,보고서 생성,Stanford STORM,오픈소스 Agent·프로젝트,주제 조사 후 위키형 보고서 구조화,오픈소스/연구,기술동향 보고서 Agent 참고,PoC 후보/자체개발 참고,상,중,핵심(즉시),95,확인완료,Stanford OVAL,,2024.04,,https://github.com/stanford-oval/storm,https://github.com/stanford-oval/storm,,,active,,2026-07-05
AG072,화학·신약개발·소재 연구 Agent,화학 도구 Agent,ChemCrow,오픈소스 Agent·프로젝트,"18개 화학 도구를 LLM과 결합해 유기합성, 신약개발, 소재설계 작업 수행",논문·오픈소스,화학·신약개발 Agent 핵심 벤치마킹,PoC 후보/자체개발 참고,상,중,핵심(즉시),95,확인완료,EPFL·Rochester,,2023.04,,https://github.com/ur-whitelab/chemcrow-public,https://github.com/ur-whitelab/chemcrow-public,,,active,,2026-07-05
AG085,화학·신약개발·소재 연구 Agent,반응예측,IBM RXN for Chemistry,도구·DB·계산자원,화학 반응 예측·합성 계획 지원,상용/IBM 서비스,화학 합성 Agent 참고,연계 도구 참고,상,하,관찰(유망·미성숙),91,확인완료,IBM,IBM,2018,,https://rxn.res.ibm.com,,,Agent라기보다 AI 화학 반응예측·합성계획 플랫폼에 가까움.,active,,2026-07-05
AG003,AI 과학자·자율 연구 Agent,가설 생성·검증,Google AI Co-Scientist / Co-Scientist,연구논문·프로토타입,"Gemini 기반 다중 Agent가 가설 생성, 토론, 비판, 개선을 반복하는 연구 파트너형 Agent",공개 연구·Google/DeepMind,출연연 연구기획·가설수립 Agent 설계에 직접 참고,벤치마킹/구조 참고,상,하,관찰(유망·미성숙),88,확인완료,Google DeepMind,Google,2025.02,,https://deepmind.google/blog/co-scientist-a-multi-agent-ai-partner-to-accelerate-research/,,,최초 공개와 후속 공개 시점이 혼재될 수 있어 출시 시기/출처를 구분해 관리 권장.,active,,2026-07-05
AG011,AI 과학자·자율 연구 Agent,가상 연구실,Virtual Lab,연구논문·프로토타입,복수 Agent가 연구실 구성원처럼 역할을 나누어 연구 수행,연구단계,출연연 공동연구 Agent 모델 참고,벤치마킹/구조 참고,상,하,관찰(유망·미성숙),88,확인완료,Stanford (Zou Lab),Stanford-Zou-Lab,2024.11,,https://github.com/zou-group/virtual-lab,https://github.com/zou-group/virtual-lab,,,active,,2026-07-05
AG057,바이오·의생명 연구 Agent,범용 바이오 Agent,Biomni,연구논문·프로토타입,"150개 도구, 59개 DB, 105개 소프트웨어를 통합한 범용 바이오의학 Agent",공개 연구·GitHub,바이오·오믹스 Agent 핵심 벤치마킹,벤치마킹/구조 참고,상,하,관찰(유망·미성숙),88,확인완료,Stanford (Zou Lab),Stanford-Zou-Lab,2025.05,,https://github.com/snap-stanford/Biomni,https://github.com/snap-stanford/Biomni,,,active,,2026-07-05
AG074,화학·신약개발·소재 연구 Agent,합성조건 추천,Chemist-X,연구논문·프로토타입,RAG와 화학 DB를 활용해 반응 조건 추천,논문 연구,화학 합성 지원 Agent 참고,벤치마킹/구조 참고,상,하,관찰(유망·미성숙),88,확인완료,논문/연구,,2023.11,,https://github.com/Nikki0526/ChemistX,https://github.com/Nikki0526/ChemistX,,,active,,2026-07-05
AG073,화학·신약개발·소재 연구 Agent,자율 화학 연구,Coscientist,연구논문·프로토타입,화학 실험 계획과 도구 사용을 자율적으로 수행하는 Agent,논문 연구,자율 실험 Agent 장기 참고,벤치마킹/구조 참고,상,하,관찰(유망·미성숙),88,확인완료,CMU (Gomes Lab),,2023.12,,https://github.com/gomesgroup/coscientist,https://github.com/gomesgroup/coscientist,,,active,,2026-07-05
AG020,AI 과학자·자율 연구 Agent,자율 논문 저술,Carl,상용 Agent·서비스,자율 생성 논문이 ICLR 워크숍 이중맹검 피어리뷰 통과,상용(Autoscience),자율 연구 성숙도 참고,벤치마킹/도입 검토,중,상,후보,75,확인완료,Autoscience Institute,,2025.02,,https://www.autoscience.ai/carl,,,,active,,2026-07-05
AG014,AI 과학자·자율 연구 Agent,자율 발견,Kosmos,상용·플랫폼,데이터와 목표를 입력하면 장시간 연구 캠페인을 수행하는 자율 발견 시스템,상용 플랫폼 중심,고급 자율 연구 Agent 벤치마킹,벤치마킹/도입 검토,중,상,후보,75,확인완료,Edison Scientific,,2025.11,,https://edisonscientific.com,,,,active,,2026-07-05
AG019,AI 과학자·자율 연구 Agent,자율 논문 저술,Zochi,상용 Agent·서비스,"문헌분석부터 피어리뷰 통과 논문까지 자율 수행, ACL 본회의 통과(최초 A* 자율)",상용(Intology),자율 논문 생성 수준 벤치마킹,벤치마킹/도입 검토,중,상,후보,75,확인완료,Intology AI,,2025.03,,https://www.intology.ai,,,,active,,2026-07-05
AG055,문헌조사·학술검색 Agent,학술 도구,Asta,상용·플랫폼,과학 연구·문헌조사 지원 Agent 계열,공개 서비스/추가 검증 필요,조사대상 후보,추가검증 후 장기 참고,중,상,후보,75,확인완료,Allen Institute for AI,AllenAI,2025,,https://asta.allen.ai,,,Asta Agents와 중복 가능. 최종 보고 시 하나의 Agent군으로 통합 검토.,active,,2026-07-05
AG056,문헌조사·학술검색 Agent,학술 도구,Asta Agents,상용·플랫폼,Asta 기반 Agent형 연구 지원 도구,공개 서비스/추가 검증 필요,조사대상 후보,추가검증 후 장기 참고,중,상,후보,75,확인완료,Allen Institute for AI,AllenAI,2025,,https://asta.allen.ai,,AG055,Asta와 중복 가능. 최종 보고 시 하나의 Agent군으로 통합 검토.,active,,2026-07-05
AG046,문헌조사·학술검색 Agent,논문 연결망,Connected Papers,상용 Agent·서비스,논문 그래프 기반 관련 연구 탐색,상용/무료 혼합,문헌 네트워크 분석 참고,벤치마킹/도입 검토,중,상,후보,75,확인완료,Connected Papers,,2020,,https://www.connectedpapers.com,,,,active,,2026-07-05
AG045,문헌조사·학술검색 Agent,논문 맵,Litmaps,상용 Agent·서비스,논문 관계도와 인용 네트워크 기반 탐색,상용/무료 혼합,연구동향 시각화 Agent 참고,벤치마킹/도입 검토,중,상,후보,75,확인완료,Litmaps,,2020,,https://www.litmaps.com,,,,active,,2026-07-05
AG039,문헌조사·학술검색 Agent,연구 어시스턴트,Perplexity Agent Research Assistant,상용 Agent·서비스,검색·조사·요약 중심 연구 보조,상용 서비스,범용 조사 Agent 참고,벤치마킹/도입 검토,중,상,후보,75,확인완료,Perplexity AI,Perplexity,2025,,https://www.perplexity.ai,,,,active,,2026-07-05
AG044,문헌조사·학술검색 Agent,논문 네트워크,ResearchRabbit,상용 Agent·서비스,관련 논문 추천과 연구 네트워크 탐색,상용/무료 혼합,문헌 탐색 UX 참고,벤치마킹/도입 검토,중,상,후보,75,확인완료,ResearchRabbit,,2021,,https://www.researchrabbit.ai,,,,active,,2026-07-05
AG049,문헌조사·학술검색 Agent,논문 Copilot,ScholarCopilot,상용 Agent·서비스,학술문헌 탐색과 요약 보조,공개/상용 여부 추가 검증,논문조사 Agent 참고,추가검증 후 장기 참고,중,상,후보,75,확인완료,TIGER-AI-Lab,,2025,,https://github.com/TIGER-AI-Lab/ScholarCopilot,https://github.com/TIGER-AI-Lab/ScholarCopilot,,,active,,2026-07-05
AG043,문헌조사·학술검색 Agent,리뷰 자동화,SciSpace Deep Review,상용 Agent·서비스,특정 주제에 대한 문헌 리뷰 생성 지원,상용 서비스,리뷰논문·기술동향 조사 Agent 참고,벤치마킹/도입 검토,중,상,후보,75,확인완료,SciSpace,SciSpace,2025,,https://scispace.com,,,,active,,2026-07-05
AG047,문헌조사·학술검색 Agent,심층 학술검색,Undermind,상용 Agent·서비스,연구질문에 맞는 논문을 심층 탐색,상용 서비스,문헌검색 Agent 참고,벤치마킹/도입 검토,중,상,후보,75,확인완료,Undermind AI,,2024,,https://www.undermind.ai,,,,active,,2026-07-05
AG031,민간 AI 과학자 플랫폼·FutureHouse Agent군,생물학 연구,Finch,상용·플랫폼,생명과학 연구 지원 Agent로 공개 소개됨,상용/플랫폼,바이오 연구 Agent 참고,벤치마킹/도입 검토,중,상,후보,75,확인완료,FutureHouse,FutureHouse,2025,,https://platform.futurehouse.org,,,FutureHouse 계열에서는 복잡한 데이터 분석 Agent 성격으로 재검토 권장.,active,,2026-07-05
AG030,민간 AI 과학자 플랫폼·FutureHouse Agent군,실험·데이터 분석,Phoenix,상용·플랫폼,실험·데이터 분석 지원형 Agent로 공개 소개됨,상용/플랫폼,실험데이터 분석 Agent 참고,벤치마킹/도입 검토,중,상,후보,75,확인완료,FutureHouse,FutureHouse,2025.05,,https://platform.futurehouse.org,,,FutureHouse 계열에서는 화학 실험 계획·ChemCrow 배포형 성격으로 재검토 권장.,active,,2026-07-05
AG064,바이오·의생명 연구 Agent,단일세포,CellAgent,연구논문·프로토타입,단일세포 데이터 분석·해석 지원 Agent,연구단계,오믹스 Agent 참고,벤치마킹/구조 참고,상,하,관찰(유망·미성숙),75,부분확인,논문/연구,,2024.07,,https://arxiv.org/abs/2407.09811,,,,active,,2026-07-05
AG099,코딩·연구자동화 Agent,알고리즘 발견,AlphaEvolve,상용 Agent·서비스,진화형 코딩 Agent로 알고리즘·수학 문제를 자율 개선·발견(Gemini 기반),상용/연구(DeepMind),최적화·알고리즘 자동발견 참고,벤치마킹/도입 검토,중,상,후보,75,확인완료,Google DeepMind,Google,2025.05,,https://deepmind.google/discover/blog/alphaevolve-a-gemini-powered-coding-agent-for-designing-advanced-algorithms/,,,[검증완료 2026-07] 일반 공개 안 됨(학계 early access만)이라 도입성숙도 '중' 유지 타당. 자체 도입 시 오픈소스 구현체 OpenEvolve(github.com/codelion/openevolve) 활용 가능.,active,,2026-07-05
AG096,코딩·연구자동화 Agent,자율 개발 Agent,Devin,상용 Agent·서비스,소프트웨어 개발 과업을 자율 수행하는 개발 Agent,상용 서비스,장기 자율 코딩 Agent 벤치마킹,벤치마킹/도입 검토,중,상,후보,75,확인완료,Cognition AI,,2024.03,,https://devin.ai,,,,active,,2026-07-05
AG097,코딩·연구자동화 Agent,범용 업무 Agent,Manus,상용 Agent·서비스,웹·문서·코드 등 일반 업무 자동화 Agent,상용 서비스,범용 연구업무 Agent 참고,벤치마킹/도입 검토,중,상,후보,75,확인완료,Manus AI,,2025.03,,https://manus.im,,,,active,,2026-07-05
AG079,화학·신약개발·소재 연구 Agent,바이오 발견,Amazon Bio Discovery,상용·플랫폼,AWS/Amazon 계열 바이오·신약 발견 플랫폼/서비스,상용·추가 검증 필요,민간 벤치마킹,추가검증 후 장기 참고,중,상,후보,75,확인완료,Amazon (AWS),,2026,,https://aws.amazon.com/biodiscovery/,,,,active,,2026-07-05
AG081,화학·신약개발·소재 연구 Agent,바이오 인텔리전스,BenchSci ASCEND,상용·플랫폼,생명과학·신약개발 의사결정 지원 플랫폼,상용 플랫폼,실험·문헌·타깃 분석 플랫폼 참고,벤치마킹/도입 검토,중,상,후보,75,확인완료,BenchSci,,2024,,https://www.benchsci.com,,,,active,,2026-07-05
AG089,화학·신약개발·소재 연구 Agent,신약개발 플랫폼,BioHive,상용·플랫폼,신약개발·바이오 연구 플랫폼 계열,상용/추가 검증 필요,민간 벤치마킹,추가검증 후 장기 참고,중,상,후보,75,확인완료,Recursion (슈퍼컴퓨터),Recursion,2024,,https://www.recursion.com/platform,,,Agent라기보다 민간 신약개발 플랫폼/인프라로 검토 필요.,active,,2026-07-05
AG087,화학·신약개발·소재 연구 Agent,AI 약물설계,Exscientia Centaur Chemist,상용·플랫폼,인간+AI 협업형 약물설계 접근,민간 상용 플랫폼,AI 신약개발 협업 모델 참고,벤치마킹/도입 검토,중,상,후보,75,확인완료,Exscientia,,2021,,https://www.exscientia.ai,,,,active,,2026-07-05
AG080,화학·신약개발·소재 연구 Agent,AI 신약개발,Insilico Pharma.AI,상용·플랫폼,"타깃 발굴, 후보물질 설계, 임상개발까지 연결하는 AI 신약개발 플랫폼",상용 플랫폼,통합 AI 신약개발 Agent 벤치마킹,벤치마킹/도입 검토,중,상,후보,75,확인완료,Insilico Medicine,,2021,이후 지속,https://insilico.com,,,,active,,2026-07-05
